procurement_id,procurement_year,agency_code,agency_name,project_name,procurement_category,estimated_cost,actual_cost,procurement_method,vendor_code,vendor_name,contract_start_date,contract_end_date,procurement_status
100001,2023,AG05,Ministry of Energy,Public Transport Improvement,Works,8738854,11174869,Limited,V447,Vendor Company 447,2/16/2023,9/25/2023,Completed
100002,2023,AG27,Pakistan Customs,School Renovation Program,Goods,6519097,7835285,Open,V440,Vendor Company 440,7/24/2023,1/2/2024,Completed
100003,2021,AG26,Higher Education Commission,Road Construction Project,Goods,19019660,23048602,Direct,V198,Vendor Company 198,4/9/2021,7/6/2021,Completed
100004,2018,AG20,Balochistan Planning Dept,Hospital Equipment Purchase,Goods,10783901,13919294,Direct,V112,Vendor Company 112,2/4/2018,10/21/2018,Completed
100005,2020,AG21,Capital Development Authority,Power Grid Maintenance,Services,15532895,19793659,Open,V477,Vendor Company 477,9/15/2020,1/21/2021,Completed
100006,2024,AG28,Federal Board of Revenue,Public Transport Improvement,Goods,4745645,,Open,V207,Vendor Company 207,8/8/2024,5/6/2025,Ongoing
100007,2021,AG04,Ministry of Transport,School Renovation Program,Goods,9337768,9337507,Open,V160,Vendor Company 160,7/23/2021,5/14/2022,Completed
100008,2023,AG11,Punjab Works Department,Hospital Equipment Purchase,Services,4118889,,Open,V415,Vendor Company 415,12/20/2023,3/7/2024,Ongoing
100009,2023,AG22,National Highway Authority,School Renovation Program,Goods,15235267,,Direct,V469,Vendor Company 469,10/16/2023,5/30/2024,Ongoing
100010,2023,AG22,National Highway Authority,IT Infrastructure Upgrade,Works,12895307,15326187,Open,V070,Vendor Company 70,11/2/2023,8/28/2024,Completed
100011,2022,AG26,Higher Education Commission,Power Grid Maintenance,Services,16910049,19763295,Direct,V252,Vendor Company 252,3/19/2022,10/22/2022,Completed
100012,2023,AG26,Higher Education Commission,Road Construction Project,Goods,4826737,,Limited,V124,Vendor Company 124,5/2/2023,8/27/2023,Ongoing
