vendor_code,vendor_name,vendor_country,vendor_type
V0001,Apex Industries,Turkey,Supplier
V0002,Dynamic Industries,China,Contractor
V0003,Future Engineering,France,Contractor
V0004,Prime Group,Saudi Arabia,Supplier
V0005,Elite International,Italy,Supplier
V0006,Dynamic Holdings,Qatar,Contractor
V0007,Universal Engineering,Japan,Contractor
V0008,Atlas Holdings,Canada,Supplier
V0009,Infinity Corporation,UAE,Supplier
V0010,United Technologies,Spain,Contractor
V0011,Advanced Industries,Australia,Supplier
V0012,Pioneer Engineering,UK,Supplier
V0013,NextGen Holdings,Italy,Supplier
V0014,Prime Solutions,South Korea,Contractor
V0015,Elite Solutions,Turkey,Supplier
V0016,Advanced Technologies,UK,Supplier
V0017,Vertex Engineering,Singapore,Contractor
V0018,Advanced Technologies,Netherlands,Contractor
V0019,Future Holdings,France,Supplier
V0020,Infinity Services,Saudi Arabia,Supplier
V0021,Nova Industries,India,Supplier
V0022,National International,Italy,Supplier
V0023,Nova International,South Korea,Contractor
V0024,Prime Corporation,Canada,Contractor
V0025,Global International,India,Contractor
V0026,Apex Group,Singapore,Contractor
V0027,Infinity Enterprises,Turkey,Supplier
V0028,Atlas Enterprises,Saudi Arabia,Supplier
V0029,Dynamic Engineering,USA,Contractor
V0030,Universal Holdings,India,Supplier
V0031,United Corporation,USA,Contractor
V0032,Universal Corporation,Malaysia,Contractor
V0033,Nova Technologies,Malaysia,Contractor
V0034,Advanced Enterprises,Singapore,Contractor
V0035,Nova Systems,International,Supplier
V0036,Dynamic Logistics,Spain,Supplier
V0037,United Logistics,Australia,Contractor
V0038,Advanced Holdings,Singapore,Contractor
V0039,Vertex Corporation,USA,Supplier
V0040,Pioneer Solutions,China,Supplier
V0041,Nova International,China,Supplier
V0042,Future Engineering,Saudi Arabia,Supplier
V0043,Dynamic Services,Malaysia,Contractor
V0044,NextGen Services,International,Supplier
V0045,NextGen International,France,Supplier
V0046,National Solutions,UK,Supplier
V0047,Prime Solutions,Singapore,Supplier
V0048,Global Logistics,China,Contractor
V0049,Prime International,Australia,Supplier
V0050,Universal Services,Netherlands,Contractor
V0051,Prime Logistics,Germany,Contractor
V0052,National Solutions,India,Contractor
V0053,NextGen Engineering,Australia,Contractor
V0054,United Group,Canada,Supplier
V0055,Elite Services,Germany,Supplier
V0056,Apex Logistics,Canada,Supplier
V0057,Advanced Technologies,Saudi Arabia,Contractor
V0058,Future Industries,Singapore,Contractor
V0059,Infinity International,UK,Contractor
V0060,NextGen Services,Japan,Contractor
V0061,Global Industries,Turkey,Supplier
V0062,Advanced International,Canada,Contractor
V0063,Pioneer Enterprises,UAE,Contractor
V0064,Apex Logistics,Italy,Contractor
V0065,Pioneer Technologies,Turkey,Contractor
V0066,National Corporation,Malaysia,Supplier
V0067,United International,India,Supplier
